station,date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,dos,soil,pe,evap,smd_wd,smd_md,smd_pd
Cork,27-Feb-62,0,1.2,1,-2, , ,8, ,993.9,14.8,0,22,0,80,0,32, ,3, , , , , , 
Cork,28-Feb-62,0,2.5,1,-2.2, , ,8, ,997.5,11.2,0,20,0,50,0,27, ,6, , , , , , 
Cork,01-Mar-62,0,2.9,0,0.1, , ,8, ,998.2,5.3,0,11,0,360,0,15, ,0, , , , , , 
Cork,02-Mar-62,0,4.4,1,-1.9, , ,8, ,990.4,7,0,12,0,20,0,17, ,0, , , , , , 
Cork,03-Mar-62,0,3.4,1,-3.7, , ,8, ,982.9,8.3,0,16,0,340,0,26, ,0, , , , , , 
Cork,04-Mar-62,0,3.7,1,-5.4, , ,8, ,984.1,7.8,0,12,0,30,0,19, ,0, , , , , , 
Cork,05-Mar-62,0,6.2,1,-3.3, , ,8, ,990.2,5.1,0,10,0,340,0,14, ,0, , , , , , 
Cork,06-Mar-62,0,6.1,1,-1.6, , ,8, ,992.1,13.5,0,32,0,130,0,46, ,0, , , , , , 
Cork,07-Mar-62,0,4.4,0,0.9, , ,8, ,982.5,35.2,0,44,0,130,0,63, ,0, , , , , , 
Cork,08-Mar-62,0,9.4,0,4.2, , ,8, ,975.4,11.6,0,25,0,130,0,37, ,0, , , , , , 
Cork,09-Mar-62,0,8.9,0,7.2, , ,8, ,975.8,6.8,0,12,0,320,0,21, ,0, , , , , , 
Cork,10-Mar-62,0,10,0,3.4, , ,8, ,982.3,12.3,0,19,0,310,0,31, ,0, , , , , , 
Cork,11-Mar-62,0,10.8,0,1.1, , ,8, ,990.2,6.7,0,13,0,80,0,18, ,0, , , , , , 
Cork,12-Mar-62,0,5.6,0,1, , ,8, ,999.6,4.8,0,11,0,90,0,15, ,0, , , , , , 
Cork,13-Mar-62,0,6.6,1,-1.9, , ,8, ,1007.9,6.8,0,12,0,350,0,19, ,0, , , , , , 
Cork,14-Mar-62,0,5,1,-0.5, , ,8, ,1003.8,6.5,0,16,0,160,0,25, ,0, , , , , , 
Cork,15-Mar-62,0,8.4,0,2.7, , ,8, ,994.2,13.9,0,27,0,170,0,41, ,0, , , , , , 
Cork,16-Mar-62,0,9.1,0,3.4, , ,8, ,999.3,8.5,0,15,0,160,0,22, ,0, , , , , , 
Cork,17-Mar-62,0,8,0,2.3, , ,8, ,1005.8,12.8,0,19,0,170,0,25, ,0, , , , , , 
Cork,18-Mar-62,0,5.7,0,0.8, , ,8, ,1005.8,13.9,0,22,0,110,0,29, ,0, , , , , , 
Cork,19-Mar-62,0,4.4,0,0.1, , ,8, ,1003.2,10.8,0,20,0,80,0,28, ,0, , , , , , 
Cork,20-Mar-62,0,9.2,1,-0.5, , ,8, ,999.8,8.3,0,12,0,60,0,18, ,0, , , , , , 
Cork,21-Mar-62,0,6.5,0,0.4, , ,8, ,1001.3,7.7,0,17,0,80,0,23, ,0, , , , , , 
Cork,22-Mar-62,0,7.3,1,-1.1, , ,8, ,999.3,5.5,0,10,0,350,0,15, ,0, , , , , , 
Cork,23-Mar-62,0,7.6,0,1.2, , ,8, ,1000.2,7.6,0,14,0,40,0,22, ,0, , , , , , 
Cork,24-Mar-62,0,7.3,0,0.9, , ,8, ,1006.1,5,0,10,0,50,0,15, ,0, , , , , , 
Cork,25-Mar-62,0,9.9,0,2.3, , ,8, ,998.6,15.2,0,24,0,230,0,36, ,0, , , , , , 
Cork,26-Mar-62,0,11.5,0,4.9, , ,8, ,987.8,11.1,0,19,0,290,0,32, ,0, , , , , , 
Cork,27-Mar-62,0,11.7,0,3.9, , ,8, ,990.8,6.6,0,14,0,330,0,18, ,0, , , , , , 
Cork,28-Mar-62,0,12,0,4.7, , ,8, ,981.4,14,0,22,0,150,0,39, ,0, , , , , , 
Cork,29-Mar-62,0,12.2,0,2.8, , ,8, ,967.8,15,0,23,0,340,0,31, ,0, , , , , , 
Cork,30-Mar-62,0,9.3,0,1.2, , ,8, ,972.2,10.7,0,17,0,290,0,27, ,0, , , , , , 
Cork,31-Mar-62,0,6.3,1,-0.3, , ,8, ,980.6,14.4,0,28,0,310,0,47, ,0, , , , , , 
Cork,01-Apr-62,0,9.4,0,1.6,1,-1.3,0,1.8,989,12.6,0,20,0,230,0,31,9.3,0, ,1.9,3.3, , , 
Cork,02-Apr-62,0,8.7,0,4.9,0,1.4,0,20.6,978.8,23.9,0,36,0,210,0,52,0,0, ,0.4,0.9, , , 
Cork,03-Apr-62,0,9.4,0,2.8,0,1.2,0,3.9,974.5,14.1,0,25,0,300,0,40,9.6,0, ,1.7,3, , , 
Cork,04-Apr-62,0,9.5,0,3.3,0,1.4,0,7.3,972.7,23.8,0,35,0,290,0,54,6.6,0, ,1.6,3.3, , , 
Cork,05-Apr-62,0,8.2,0,2.2,0,1.6,0,1.8,985.7,20,0,35,0,300,0,52,9.4,0, ,1.8,3.6, , , 
Cork,06-Apr-62,0,9.8,0,1.7,1,-0.6,0,0.3,998.4,13.7,0,21,0,250,0,32,5.7,0, ,1.3,2.4, , , 
Cork,07-Apr-62,0,11,0,4.4,0,6.6,0,2.9,989.1,17.9,0,23,0,240,0,36,0,0, ,0.8,1.4, , , 
Cork,08-Apr-62,0,8.8,0,1.2,1,-0.1,0,4.9,992,23.6,0,41,0,290,0,62,6,0, ,1.3,2.8, , , 
Cork,09-Apr-62,0,10.6,0,3.8,0,1.7,0,0.5,1004.7,14.1,0,23,0,290,0,35,6.8,0, ,2.1,3.5, , , 
Cork,10-Apr-62,0,12.7,0,6.1,0,3.8,2,0,1002,9.1,0,15,0,310,0,24,1.6,0, ,1.5,2.3, , , 
Cork,11-Apr-62,0,12.6,0,5.5,0,2.6,0,0.4,999.5,8.4,0,18,0,300,0,26,3.5,0, ,1.7,2.7, , , 
Cork,12-Apr-62,0,9.1,0,6.7,0,7.2,0,2.3,1003.2,7,0,11,0,130,0,15,0,0, ,1.1,1.6, , , 
Cork,13-Apr-62,0,10.9,0,5.1,0,3.9,3,0,1008.6,9.5,0,14,0,120,0,20,12.9,0, ,2.7,4.5, , , 
Cork,14-Apr-62,0,8.8,0,2.2,0,2.2,3,0,1011.8,13,0,18,0,110,0,25,8.6,0, ,1.7,3, , , 
Cork,15-Apr-62,0,8.3,0,1.9,1,-0.1,3,0,1009.8,13.1,0,21,0,90,0,27,8.3,0, ,2,3.5, , , 
Cork,16-Apr-62,0,11,0,0.6,1,-1,3,0,1000.5,11.5,0,18,0,40,0,26,7.6,0, ,1.9,3.2, , , 
Cork,17-Apr-62,0,7.8,0,3.7,0,3.6,0,0.5,990,9.8,0,15,0,20,0,22,0,0, ,1.1,1.6, , , 
Cork,18-Apr-62,0,9.3,0,4.1,0,2.5,0,0.1,989.1,9.9,0,18,0,350,0,25,3.3,0, ,1.5,2.4, , , 
Cork,19-Apr-62,0,9.1,0,3.9,0,3.3,0,5.3,989.8,5.9,0,12,0,340,0,15,3.7,0, ,1,1.5, , , 
Cork,20-Apr-62,0,10.6,0,3.2,0,0.1,0,1.9,987.7,8,0,17,0,220,0,24,4.5,0, ,1.3,2.1, , , 
Cork,21-Apr-62,0,11.4,0,5,0,2.6,0,10.9,992.5,4.8,0,15,0,270,0,22,6.4,0, ,2,2.9, , , 
Cork,22-Apr-62,0,10.9,0,3.3,1,-0.2,3,0,996.1,14.2,0,22,0,170,0,32,7.1,0, ,1.7,3.2, , , 
Cork,23-Apr-62,0,12.3,0,7.3,0,7.6,0,2.5,998,10.6,0,22,0,160,0,31,1.2,0, ,1.3,2, , , 
Cork,24-Apr-62,0,15.1,0,4.4,0,3.2,3,0,1006.1,6.8,0,13,0,210,0,17,12.9,0, ,2.8,4.2, , , 
Cork,25-Apr-62,0,16,0,5.8,0,4.1,3,0,1011.5,6,0,10,0,200,0,16,12.9,0, ,3.6,5.2, , , 
Cork,26-Apr-62,0,18.8,0,5.4,0,3.8,0,0,1010.7,4.3,0,8,0,310,0,15,8.6,0, ,3.5,4.9, , , 
Cork,27-Apr-62,0,15.2,0,7,0,9.7,0,0.7,1008.7,6.6,0,14,0,110,0,17,4.8,0, ,1.6,2.3, , , 
Cork,28-Apr-62,0,14.5,0,6.2,0,4.9,3,0,1005.5,6.8,0,11,0,110,0,17,13.3,0, ,3,4.5, , , 
Cork,29-Apr-62,0,13,0,5.8,0,6,3,0,1002.7,11.7,0,17,0,110,0,22,12.7,0, ,2.7,4.5, , , 
Cork,30-Apr-62,0,14.4,0,3.3,0,0,3,0,1002,9.2,0,19,0,100,0,24,13.8,0, ,3.1,4.7, , , 
Cork,01-May-62,0,11.1,0,4.9,0,3.9,3,0,999.3,11.9,0,18,0,120,0,26,11,0, ,2.5,4.3, , , 
Cork,02-May-62,0,13.4,0,5.3,0,3.2,3,0,994.8,11.8,0,16,0,130,0,22,12.4,0, ,3.1,5.4, , , 
Cork,03-May-62,0,14.5,0,7.2,0,6.1,0,1,991.4,9.5,0,14,0,120,0,21,6.6,0, ,2.3,3.6, , , 
Cork,04-May-62,0,12.7,0,6.2,0,3.1,2,0,989.1,7.8,0,14,0,130,0,19,4.6,0, ,2.6,4, , , 
Cork,05-May-62,0,14.5,0,8.6,0,8.4,0,10.9,984.7,12.3,0,18,0,220,0,24,1.8,0, ,3,4.1, , , 
Cork,06-May-62,0,16.1,0,9.7,0,11.1,0,3,984.1,13,0,17,0,250,0,24,6.7,0, ,2.6,4.4, , , 
Cork,07-May-62,0,12.7,0,9.7,0,9.8,0,3.3,985.2,18.8,0,26,0,200,0,39,0,0, ,0.9,1.9, , , 
Cork,08-May-62,0,12.7,0,7.2,0,7.1,0,1,985.5,13.2,0,22,0,220,0,30,11.4,0, ,2.3,4.2, , , 
Cork,09-May-62,0,11.4,0,6.7,0,3.3,0,8.3,988.5,8.2,0,18,0,240,0,26,2.5,0, ,1.9,2.9, , , 
Cork,10-May-62,0,14,0,7.4,0,5.9,0,2.7,993.8,11.5,0,18,0,310,0,30,7.9,0, ,2.5,4.2, , , 
Cork,11-May-62,0,14.4,0,8.1,0,6.7,0,2.5,1002.4,13.5,0,22,0,340,0,33,8.8,0, ,2.7,4.6, , , 
Cork,12-May-62,0,14.4,0,7.8,0,6.8,2,0,1010.3,14.8,0,22,0,350,0,36,6.1,0, ,2.7,4.5, , , 
Cork,13-May-62,0,15.3,0,4.9,0,3.6,3,0,1011.7,11.9,0,19,0,330,0,28,4.1,0, ,2.4,4, , , 
Cork,14-May-62,0,14.4,0,9.1,0,9.4,2,0,1011.3,14.2,0,23,0,330,0,33,1.1,0, ,1.7,2.8, , , 
Cork,15-May-62,0,14.7,0,9.1,0,8.9,2,0,1003.9,11.9,0,22,0,240,0,30,0.5,0, ,1.9,2.8, , , 
Cork,16-May-62,0,12.3,0,5.7,0,6,0,1.6,995,17.9,0,27,0,290,0,42,9,0, ,2.4,5, , , 
Cork,17-May-62,0,12.3,0,4.4,0,2.2,0,1.5,991.7,13,0,24,0,260,0,34,11.3,0, ,2.9,5.2, , , 
Cork,18-May-62,0,8.5,0,3.9,0,2.8,0,22.7,983.5,14.2,0,26,0,340,0,42,0,0, ,0.9,1.5, , , 
Cork,19-May-62,0,12.6,0,3.7,0,2.7,0,0.3,987.2,15.2,0,25,0,330,0,39,12.9,0, ,3.2,5.8, , , 
Cork,20-May-62,0,12.7,0,4.1,0,2.9,0,15,984.5,15.1,0,28,0,160,0,42,1.3,0, ,1.3,2.3, , , 
Cork,21-May-62,0,12.2,0,6.7,0,6.1,0,0.1,983.4,14.3,0,29,0,310,0,45,5.8,0, ,2.2,3.9, , , 
Cork,22-May-62,0,13.2,0,5.9,0,2.8,0,1.2,993.2,16.2,0,27,0,300,0,39,8.9,0, ,2.7,5.1, , , 
Cork,23-May-62,0,14.3,0,5,0,1.5,2,0,1001.8,11,0,19,0,280,0,27,12.4,0, ,3.5,5.6, , , 
Cork,24-May-62,0,14.9,0,3.8,0,0.4,2,0,1008,10.4,0,17,0,30,0,29,13.5,0, ,3.7,5.9, , , 
Cork,25-May-62,0,11.5,0,2.3,1,-0.7,3,0,1009.8,10.2,0,20,0,350,0,30,8.5,0, ,2.2,3.4, , , 
Cork,26-May-62,0,12.6,0,3.4,1,-0.5,2,0,1006,7.2,0,12,0,30,0,19,7,0, ,2.6,3.8, , , 
Cork,27-May-62,0,11.7,0,3.5,0,0.8,0,4.3,1002.4,7.8,0,20,0,100,0,33,8,0, ,2.5,3.8, , , 
Cork,28-May-62,0,14,0,6.2,0,4.5,0,1.2,1002.6,9,0,16,0,340,0,22,4.6,0, ,2.6,3.9, , , 
Cork,29-May-62,0,15.6,0,8.2,0,8,0,0.1,1001.9,9.8,0,19,0,340,0,27,7.8,0, ,3.3,4.9, , , 
Cork,30-May-62,0,13.7,0,7.3,0,6.5,3,0,1003.2,6.6,0,14,0,340,0,21,5.1,0, ,2.4,3.5, , , 
Cork,31-May-62,0,12.6,0,5.7,0,4.9,3,0,1006.8,10.2,0,16,0,30,0,23,14.9,0, ,3.6,5.9, , , 
Cork,01-Jun-62,0,14.9,0,2.4,0,0.9,3,0,1010,6.1,0,11,0,10,0,18,14,0, ,3.5,5.2, , , 
Cork,02-Jun-62,0,14.3,0,5.2,0,3.8,3,0,1011.5,6.7,0,11,0,130,0,16,14.7,0, ,4,6.1, , , 
Cork,03-Jun-62,0,15.7,0,6.1,0,3.9,3,0,1012.2,7.5,0,12,0,160,0,21,14.9,0, ,3.8,5.7, , , 
Cork,04-Jun-62,0,15.3,0,7.3,0,4.6,3,0,1011.5,11.6,0,20,0,140,0,29,12.1,0, ,3.4,5.5, , , 
Cork,05-Jun-62,0,15.1,0,7.9,0,5.1,3,0,1012.8,13.4,0,21,0,130,0,30,13.6,0, ,3.4,6, , , 
Cork,06-Jun-62,0,16.1,0,7.4,0,4.4,3,0,1015.2,10.4,0,17,0,150,0,22,13.3,0, ,4.4,7.2, , , 
Cork,07-Jun-62,0,18.3,0,6.2,0,1.7,3,0,1015.8,6.9,0,13,0,120,0,18,13.8,0, ,4,5.8, , , 
Cork,08-Jun-62,0,21.1,0,7.9,0,7,3,0,1013,5.5,0,9,0,190,0,15,13.2,0, ,4.5,6.2, , , 
Cork,09-Jun-62,0,18.4,0,10.3,0,4.7,0,0.7,1007,7.2,0,14,0,340,0,22,8.1,0, ,3.5,4.8, , , 
Cork,10-Jun-62,0,15.1,0,7.6,0,5.5,2,0,1005,8.5,0,15,0,350,0,21,5.7,0, ,3,4.6, , , 
Cork,11-Jun-62,0,16.1,0,9.2,0,9.4,0,4.9,999.2,8.3,0,16,0,230,0,22,1.7,0, ,1.9,2.7, , , 
Cork,12-Jun-62,0,14.8,0,9.6,0,11.6,0,0.2,992.8,9.3,0,16,0,220,0,22,0,0, ,1.7,2.7, , , 
Cork,13-Jun-62,0,14.5,0,7.5,0,5.7,3,0,987.3,12.2,0,23,0,210,0,32,1.4,0, ,1.6,2.6, , , 
Cork,14-Jun-62,0,15.1,0,8.8,0,11.9,0,0.4,987.5,15.3,0,25,0,210,0,36,2.8,0, ,2.4,4.1, , , 
Cork,15-Jun-62,0,11.1,0,7.8,0,6,0,4.2,995.2,3.9,0,9,0,280,0,11,0,0, ,1.6,2.2, , , 
Cork,16-Jun-62,0,15.9,0,6.7,0,3.7,3,0,1000.8,8.1,0,16,0,220,0,23,13.5,0, ,4.1,6.2, , , 
Cork,17-Jun-62,0,13.4,0,7.4,0,3,0,28.3,991.4,17.5,0,34,0,170,0,50,0,0, ,0.7,1.7, , , 
Cork,18-Jun-62,0,14.3,0,8.9,0,10.9,0,5,981.1,22.6,0,36,0,220,0,51,5.6,0, ,1.9,4.3, , , 
Cork,19-Jun-62,0,14.2,0,9.1,0,7.2,0,0.1,988,17,0,26,0,270,0,37,6.2,0, ,3,5.3, , , 
Cork,20-Jun-62,0,18.2,0,10.6,0,10.6,0,1.4,991.7,12.9,0,18,0,240,0,24,3.2,0, ,1.9,2.9, , , 
Cork,21-Jun-62,0,16.1,0,10.4,0,12.8,0,2.5,993.1,19.1,0,27,0,220,0,38,4.3,0, ,1.9,3.5, , , 
Cork,22-Jun-62,0,16.5,0,10.1,0,8.8,2,0,998.6,12.3,0,18,0,250,0,27,8.6,0, ,3.5,5.6, , , 
Cork,23-Jun-62,0,14.3,0,9,0,7.2,0,2.2,998.6,14.7,0,30,0,200,0,40,1.1,0, ,1.3,2.3, , , 
Cork,24-Jun-62,0,15.1,0,7.4,0,7.3,3,0,1005.7,15.8,0,25,0,300,0,39,13.4,0, ,3.7,6.5, , , 
Cork,25-Jun-62,0,17.9,0,6.1,0,3.9,3,0,1010,10.5,0,19,0,310,0,28,12.2,0, ,3.8,6.1, , , 
Cork,26-Jun-62,0,16.7,0,7.3,0,7.3,0,0.1,1007.9,11.2,0,18,0,340,0,27,8.2,0, ,3.2,4.9, , , 
Cork,27-Jun-62,0,18.3,0,4.7,0,3.7,3,0,1009.8,9.6,0,16,0,340,0,24,15.2,0, ,4.3,6.6, , , 
Cork,28-Jun-62,0,19.7,0,8,0,7.3,2,0,1006.8,11.8,0,19,0,320,0,27,5.1,0, ,2.9,4.4, , , 
Cork,29-Jun-62,0,18,0,10.2,0,11.1,0,0.2,1006.5,11,0,18,0,340,0,24,9.2,0, ,3.7,5.8, , , 
Cork,30-Jun-62,0,18.3,0,8.7,0,7.8,3,0,1008.4,7.5,0,14,0,340,0,19,1.6,0, ,2.2,3.1, , , 
Cork,01-Jul-62,0,20.9,0,9.1,0,7.8,3,0,1010.5,8.4,0,13,0,340,0,22,14,0, ,4.2,6.1, , , 
Cork,02-Jul-62,0,20.6,0,9,0,6.8,2,0,1008.8,12.5,0,20,0,320,0,31,10,0, ,3.7,5.7, , , 
Cork,03-Jul-62,0,19.2,0,9.2,0,10.9,2,0,1003.8,13.1,0,23,0,320,0,33,10.4,0, ,3.7,5.9, , , 
Cork,04-Jul-62,0,15.9,0,8.7,0,7.8,0,0.2,998.4,12.1,0,22,0,330,0,30,4.4,0, ,2.1,3.1, , , 
Cork,05-Jul-62,0,13.3,0,7.8,0,7.1,2,0,999.3,9.9,0,15,0,350,0,24,0.5,0, ,1.9,2.9, , , 
Cork,06-Jul-62,0,15.4,0,9.6,0,9.3,0,0,1001.5,5.8,0,12,0,210,0,19,1.1,0, ,2.7,3.6, , , 
Cork,07-Jul-62,0,16.1,0,10.1,0,8.8,2,0,1000.2,6.6,0,15,0,200,0,22,0.8,0, ,2.7,3.8, , , 
Cork,08-Jul-62,0,16.8,0,10,0,7.2,3,0,996.6,10.1,0,16,0,130,0,23,9.8,0, ,3.5,5.6, , , 
Cork,09-Jul-62,0,16.8,0,11.3,0,9.4,0,11.6,990,14.9,0,24,0,110,0,33,1.7,0, ,1.8,2.8, , , 
Cork,10-Jul-62,0,17,0,11.3,0,12.1,0,9.7,985.6,7.6,0,19,0,110,0,28,3.9,0, ,2.5,3.6, , , 
Cork,11-Jul-62,0,14.6,0,10.4,0,9.1,0,4.6,987.8,7.8,0,14,0,280,0,21,0,0, ,1.4,2, , , 
Cork,12-Jul-62,0,16.3,0,10.1,0,8.9,2,0,992.5,6.2,0,14,0,320,0,20,3.9,0,14.525,2.7,3.8, , , 
Cork,13-Jul-62,0,15.9,0,10.2,0,5.6,0,15.7,990,11.1,0,21,0,120,0,29,0.2,0,14.025,1.6,2.6, , , 
Cork,14-Jul-62,0,18.1,0,12.7,0,13.6,0,0.9,985.1,7,0,13,0,130,0,19,8.3,0,16.25,3.2,4.6, , , 
Cork,15-Jul-62,0,16.4,0,12.2,0,10.1,0,0.9,992.1,4.8,0,9,0,200,0,11,0.1,0,16,1.7,2.4, , , 
Cork,16-Jul-62,0,17.3,0,12.3,0,12.5,0,0.6,998.5,5.1,0,9,0,190,0,16,3.3,0,16.275,2.3,3.2, , , 
Cork,17-Jul-62,0,15.6,0,12.9,0,12.6,0,5.3,996.7,12.8,0,20,0,140,0,29,0,0,15.625,1.6,2.6, , , 
Cork,18-Jul-62,0,16.1,0,12.9,0,12.8,0,18.5,988.9,17,0,23,0,220,0,33,0,0,15.125,0.9,1.7, , , 
Cork,19-Jul-62,0,16.7,0,10.4,0,11.7,2,0,988.2,15.8,0,23,0,260,0,32,9.4,0,15.8,3.1,5.3, , , 
Cork,20-Jul-62,0,17.2,0,10.4,0,8.3,2,0,986.8,10.4,0,18,0,200,0,26,11.1,0,15.35,3,4.7, , , 
