origincityLabel,origincountry,originlat,originlong,originpopulation,sistercityLabel,destinationlat,destinationlong,destinationpopulation,destination_countryLabel,dist,eu,samecountry,typecountry
Haskovo,Bulgaria,41.93111111,25.5575,76587,Alexandroupoli,40.85,25.86666667,57812,Greece,123,EU,different,EU
Veliko Tarnovo,Bulgaria,43.08222222,25.63166667,71150,Kraków,50.06666667,19.95,761900,Poland,889,EU,different,EU
Veliko Tarnovo,Bulgaria,43.08222222,25.63166667,71150,Sopron,47.68472222,16.58305556,61780,Hungary,872,EU,different,EU
Gabrovo,Bulgaria,42.87111111,25.315,58950,Nowy Sącz,49.62388889,20.69722222,NA,Poland,830,EU,different,EU
Dobrich,Bulgaria,43.56666667,27.83333333,91030,Ferrara,44.835297,11.619865,132445,Italy,1298,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Barcelona,41.3825,2.176944444,1608746,Spain,2118,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Aalborg,57.05,9.916666667,112194,Denmark,1991,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Vienna,48.20833,16.373064,1840573,Austria,818,EU,different,EU
Gabrovo,Bulgaria,42.87111111,25.315,58950,Panevėžys,55.725,24.36388889,NA,Lithuania,1431,EU,different,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Orosei,40.37972222,9.694166667,NA,Italy,1137,EU,different,EU
Haskovo,Bulgaria,41.93111111,25.5575,76587,Novara,45.45,8.616666667,104471,Italy,1414,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Madrid,40.41888889,-3.691944444,3165541,Spain,2253,EU,different,EU
Pazardzhik,Bulgaria,42.18916667,24.33166667,71979,Tatabánya,47.58616,18.39485,66791,Hungary,760,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Milan,45.464161,9.190336,1359905,Italy,1169,EU,different,EU
Smolyan,Bulgaria,41.57527778,24.71277778,30507,Xanthi,41.13333333,24.88333333,56122,Greece,51,EU,different,EU
Shumen,Bulgaria,43.27,26.92444444,80511,Debrecen,47.53,21.63916667,203506,Hungary,628,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Preveza,38.95,20.75,19042,Greece,590,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Kavala,40.93555556,24.40916667,70501,Greece,384,EU,different,EU
Gorna Oryahovitsa,Bulgaria,43.12222222,25.68972222,32792,Szigetszentmiklós,47.34527778,19.04833333,35656,Hungary,700,EU,different,EU
Sliven,Bulgaria,42.68083333,26.31638889,89848,Pécs,46.08333333,18.21666667,145985,Hungary,746,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Piraeus,37.96666667,23.63333333,163910,Greece,686,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Bellagio,45.9875,9.261944444,NA,Italy,1332,EU,different,EU
Karlovo,Bulgaria,42.643034,24.805346,27659,Konin,52.21666667,18.26666667,NA,Poland,1171,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Turku,60.45166667,22.27,186014,Finland,1954,EU,different,EU
Asenovgrad,Bulgaria,42.00694444,24.87555556,55323,Naousa,40.63055556,22.06416667,18882,Greece,280,EU,different,EU
Targovishte,Bulgaria,43.24666667,26.57194444,37642,Kozani,40.3,21.78333333,55926,Greece,515,EU,different,EU
Dimitrovgrad,Bulgaria,42.06111111,25.59333333,38217,Kazincbarcika,48.25305556,20.64555556,27487,Hungary,790,EU,different,EU
Plovdiv,Bulgaria,42.14333333,24.74888889,333206,Thessaloniki,40.63333333,22.95,385406,Greece,225,EU,different,EU
Silistra,Bulgaria,44.11861111,27.26027778,35230,Dunaújváros,46.98333333,18.91666667,46052,Hungary,723,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Houffalize,50.13202,5.78936,NA,Belgium,1703,EU,different,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Milan,45.464161,9.190336,1359905,Italy,1149,EU,different,EU
Haskovo,Bulgaria,41.93111111,25.5575,76587,Veszprém,47.1,17.91666667,60761,Hungary,834,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Szeged,46.25,20.16666667,162593,Hungary,699,EU,different,EU
Burgas,Bulgaria,42.5,27.46666667,206371,Miskolc,48.1044444,20.7897222,159554,Hungary,812,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Altea,38.6,-0.048888889,21739,Spain,2195,EU,different,EU
Plovdiv,Bulgaria,42.14333333,24.74888889,333206,Poznań,52.4,16.91666667,544612,Poland,1283,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Malmö Municipality,55.58333333,13.03333333,NA,Sweden,1740,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Brussels-Capital Region,50.85,4.35,1183545,Belgium,1699,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Brussels,50.84666667,4.3525,1175000,Belgium,1698,EU,different,EU
Kazanlak,Bulgaria,42.61666667,25.4,50000,Veroia,40.52027778,22.20194444,43158,Greece,354,EU,different,EU
Gorna Oryahovitsa,Bulgaria,43.12222222,25.68972222,31437,Szigetszentmiklós,47.34527778,19.04833333,35656,Hungary,700,EU,different,EU
Lovech,Bulgaria,43.13416667,24.71722222,39316,Valladolid,41.65198056,-4.728561111,301876,Spain,2411,EU,different,EU
Ruse,Bulgaria,43.8475,25.95444444,166056,Peristeri,38.01666667,23.68333333,NA,Greece,676,EU,different,EU
Pazardzhik,Bulgaria,42.18916667,24.33166667,71979,Salerno,40.68055556,14.75972222,135066,Italy,815,EU,different,EU
Gabrovo,Bulgaria,42.87111111,25.315,58950,Aalst,50.93333333,4.033333333,78271,Belgium,1839,EU,different,EU
Gabrovo,Bulgaria,42.87111111,25.315,58950,Kavala,40.93555556,24.40916667,70501,Greece,228,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Athens,38,23.71666667,664046,Greece,524,EU,different,EU
Nesebar,Bulgaria,42.66083333,27.71388889,13866,18th district of Budapest,47.43333333,19.16666667,101613,Hungary,855,EU,different,EU
Blagoevgrad,Bulgaria,42.02194444,23.0975,76811,Lecce,40.35201111,18.16913889,94892,Italy,452,EU,different,EU
Kazanlak,Bulgaria,42.61666667,25.4,50000,Nagykanizsa,46.45583333,16.9975,48241,Hungary,790,EU,different,EU
Yambol,Bulgaria,42.48444444,26.50861111,79771,Sieradz,51.6,18.75,NA,Poland,1170,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Bundoran,54.4754,-8.2838,NA,Ireland,2759,EU,different,EU
Haskovo,Bulgaria,41.93111111,25.5575,76587,Wieden,48.18944444,16.36166667,NA,Austria,1002,EU,different,EU
Pleven,Bulgaria,43.40777778,24.62027778,110520,Edessa,40.8,22.05,18229,Greece,359,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Niederanven,49.65138889,6.255555556,5737,Luxembourg,1654,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Karkkila,60.53472222,24.20972222,8969,Finland,1966,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Wels,48.15,14.01666667,60399,Austria,1209,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Genoa,44.40718611,8.933983333,588688,Italy,1526,EU,different,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Lublin,51.23333333,22.56666667,324637,Poland,959,EU,different,EU
Stara Zagora,Bulgaria,42.42472222,25.62555556,138272,Radom,51.40361111,21.15666667,219703,Poland,1054,EU,different,EU
Burgas,Bulgaria,42.5,27.46666667,206371,Miskolc,48.10555556,20.78333333,159554,Hungary,812,EU,different,EU
Pleven,Bulgaria,43.40777778,24.62027778,110520,Volos,39.36666667,22.93333333,86046,Greece,471,EU,different,EU
Dobrich,Bulgaria,43.56666667,27.83333333,91030,Zalaegerszeg,46.83916667,16.85111111,58959,Hungary,933,EU,different,EU
Svishtov,Bulgaria,43.61861111,25.34388889,31418,Dębica,50.05,21.41666667,NA,Poland,775,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Holstebro,56.36666667,8.616666667,35392,Denmark,1921,EU,different,EU
Asenovgrad,Bulgaria,42.00694444,24.87555556,55323,Kilkis,40.9954,22.8765,22914,Greece,201,EU,different,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Heraklion,35.33333333,25.13333333,140730,Greece,829,EU,different,EU
Blagoevgrad,Bulgaria,42.02194444,23.0975,76811,Székesfehérvár,47.2,18.41666667,98673,Hungary,684,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Judenburg,47.1725,14.66027778,10195,Austria,975,EU,different,EU
Teteven,Bulgaria,42.91777778,24.26583333,10077,Ladispoli,41.95444444,12.07416667,NA,Italy,1005,EU,different,EU
Aksakovo,Bulgaria,43.25,27.81666667,8042,Igualada,41.58138889,1.620833333,38987,Spain,2150,EU,different,EU
Veliko Tarnovo,Bulgaria,43.08222222,25.63166667,71150,Serres,41.08333333,23.55,58287,Greece,281,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Kőszeg,47.38166667,16.55194444,11702,Hungary,862,EU,different,EU
Haskovo,Bulgaria,41.93111111,25.5575,76587,Enguera,38.9802279,-0.6891945,5027,Spain,2236,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Warsaw,52.21666667,21.03333333,1748916,Poland,1072,EU,different,EU
Tvarditsa,Bulgaria,42.70166667,25.8975,6091,Budapest District XXIII,47.396389,19.131111,22833,Hungary,744,EU,different,EU
Burgas,Bulgaria,42.5,27.46666667,206371,Alexandroupoli,40.85,25.86666667,57812,Greece,227,EU,different,EU
Ruse,Bulgaria,43.8475,25.95444444,166056,Giurgiu,43.9,25.96666667,61353,Romania,6,EU,different,EU
Vratsa,Bulgaria,43.2,23.55,60877,Frankfurt (Oder),52.35,14.55,58018,Germany,1218,EU,different,EU
Veliko Tarnovo,Bulgaria,43.08222222,25.63166667,71150,Zadar,44.11666667,15.21666667,75082,Croatia,846,EU,different,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Caen,49.18222222,-0.370555556,107229,France,1943,EU,different,EU
Shumen,Bulgaria,43.27,26.92444444,80511,Tulcea,45.19,28.8,73707,Romania,261,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Siret,47.95,26.06,7976,Romania,567,EU,different,EU
Pleven,Bulgaria,43.40777778,24.62027778,110520,Guimarães,41.445,-8.290833333,158124,Portugal,2692,EU,different,EU
Smolyan,Bulgaria,41.57527778,24.71277778,30507,Võru,57.84861111,26.99277778,12458,Estonia,1817,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Vysoké Mýto,49.95324004,16.16175201,12390,Czech Republic,1168,EU,different,EU
Veliko Tarnovo,Bulgaria,43.08222222,25.63166667,71150,Iași,47.16222222,27.58888889,290422,Romania,479,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Türi,58.80944444,25.42916667,5257,Estonia,1773,EU,different,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Ovar,40.86666667,-8.633333333,NA,Portugal,2619,EU,different,EU
Montana,Bulgaria,43.40777778,23.225,44502,Kassel,51.31972222,9.497777778,197984,Germany,1354,EU,different,EU
Kazanlak,Bulgaria,42.61666667,25.4,50000,Saint-Herblain,47.21138889,-1.651111111,43784,France,2179,EU,different,EU
Silistra,Bulgaria,44.11861111,27.26027778,35230,Călărași,44.2,27.33333333,65181,Romania,11,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Zvolen,48.58305556,19.13305556,43100,Slovakia,804,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Škofja Loka,46.16666667,14.3,NA,Slovenia,959,EU,different,EU
Yambol,Bulgaria,42.48444444,26.50861111,79771,Villejuif,48.79388889,2.361111111,57184,France,1994,EU,different,EU
Balchik,Bulgaria,43.40777778,28.16222222,12913,Mangalia,43.81722222,28.58277778,36364,Romania,57,EU,different,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Cardiff,51.48,-3.18,346100,United Kingdom,2201,EU,different,EU
Lovech,Bulgaria,43.13416667,24.71722222,39316,Erfurt,50.97805556,11.02916667,210118,Germany,1351,EU,different,EU
Pleven,Bulgaria,43.40777778,24.62027778,110520,Brăila,45.26916667,27.9575,180302,Romania,337,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Sherborne,50.9491,-2.5183,9350,United Kingdom,2292,EU,different,EU
Panagyurishte,Bulgaria,42.50472222,24.18916667,18487,Aue,50.58805556,12.70055556,16349,Germany,1254,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Bucharest,44.4,26.08333333,1883425,Romania,291,EU,different,EU
Plovdiv,Bulgaria,42.14333333,24.74888889,333206,Košice,48.71666667,21.25,NA,Slovakia,780,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Lyon,45.75888889,4.841388889,500716,France,1846,EU,different,EU
Ruse,Bulgaria,43.8475,25.95444444,166056,Bratislava,48.14472222,17.11277778,625167,Slovakia,833,EU,different,EU
Balchik,Bulgaria,43.40777778,28.16222222,12913,Stará Ľubovňa,49.31666667,20.68333333,NA,Slovakia,871,EU,different,EU
Gabrovo,Bulgaria,42.87111111,25.315,58950,Prešov,49,21.23333333,91498,Slovakia,751,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Granville,48.83805556,-1.586944444,13104,France,2186,EU,different,EU
Montana,Bulgaria,43.40777778,23.225,44502,Schmalkalden,50.71666667,10.45,19291,Germany,1261,EU,different,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Magdeburg,52.13333333,11.61666667,235723,Germany,1361,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Rostock,54.08333333,12.13333333,206011,Germany,1668,EU,different,EU
Plovdiv,Bulgaria,42.14333333,24.74888889,333206,Leipzig,51.33333333,12.38333333,575979,Germany,1386,EU,different,EU
Haskovo,Bulgaria,41.93111111,25.5575,76587,Viseu,40.66666667,-7.916666667,NA,Portugal,2782,EU,different,EU
Haskovo,Bulgaria,41.93111111,25.5575,76587,Châtillon-sur-Indre,46.98777778,1.173611111,2706,France,2006,EU,different,EU
Veliko Tarnovo,Bulgaria,43.08222222,25.63166667,71150,Bayonne,43.4925,-1.476388889,47492,France,2185,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Karlovac,45.49305556,15.55583333,55705,Croatia,694,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Ílhavo,40.6,-8.666666667,NA,Portugal,2653,EU,different,EU
Pleven,Bulgaria,43.40777778,24.62027778,110520,Kaiserslautern,49.44472222,7.768888889,NA,Germany,1451,EU,different,EU
Stara Zagora,Bulgaria,42.42472222,25.62555556,138272,Barreiro,38.66666667,-9.1,NA,Portugal,2943,EU,different,EU
Stara Zagora,Bulgaria,42.42472222,25.62555556,138272,Barreiro,38.66416667,-9.076666667,NA,Portugal,2941,EU,different,EU
Silistra,Bulgaria,44.11861111,27.26027778,35230,Slobozia,44.56388889,27.36611111,45891,Romania,50,EU,different,EU
Targovishte,Bulgaria,43.24666667,26.57194444,37642,Santa Maria da Feira Municipality,40.93333333,-8.533333333,NA,Portugal,2887,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Sesimbra Municipality,38.43333333,-9.1,NA,Portugal,2938,EU,different,EU
Svishtov,Bulgaria,43.61861111,25.34388889,31418,Barcelos Municipality,41.53333333,-8.616666667,NA,Portugal,2771,EU,different,EU
Razgrad,Bulgaria,43.52666667,26.52416667,35007,Călărași,44.2,27.33333333,65181,Romania,99,EU,different,EU
Dobrich,Bulgaria,43.56666667,27.83333333,91030,Constanța,44.17333333,28.63833333,283872,Romania,93,EU,different,EU
Gabrovo,Bulgaria,42.87111111,25.315,58950,Sisak,45.48777778,16.37416667,NA,Croatia,769,EU,different,EU
Smolyan,Bulgaria,41.57527778,24.71277778,30507,Suhl,50.61055556,10.69305556,36208,Germany,1471,EU,different,EU
Lovech,Bulgaria,43.13416667,24.71722222,39316,Laval,48.07277778,-0.77,50479,France,2047,EU,different,EU
Kazanlak,Bulgaria,42.61666667,25.4,50000,Les Gras,46.99472222,6.544444444,803,France,1561,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Marsaskala,35.8625,14.5675,12134,Malta,1218,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Bad Kötzting,49.17694444,12.855,6805,Germany,1199,EU,different,EU
Sliven,Bulgaria,42.68083333,26.31638889,89848,Alba Iulia,46.07638889,23.57277778,63536,Romania,436,EU,different,EU
Vratsa,Bulgaria,43.2,23.55,60877,Villeneuve-le-Roi,48.73444444,2.410833333,20481,France,1739,EU,different,EU
Panagyurishte,Bulgaria,42.50472222,24.18916667,18487,Aue,50.58805556,12.70055556,16349,Germany,1254,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Washington,54.9,-1.52,NA,United Kingdom,2481,EU,different,EU
Haskovo,Bulgaria,41.93111111,25.5575,76587,Leicester,52.63333333,-1.133333333,NA,United Kingdom,2319,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Sušice,49.23116147,13.52020785,11127,Czech Republic,1161,EU,different,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Ljubljana,46.05,14.51666667,287000,Slovenia,777,EU,different,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Pardubice,50.01666667,15.76666667,90044,Czech Republic,994,EU,different,EU
"Melnik, Bulgaria",Bulgaria,41.52333333,23.39083333,274,Mělník,50.35057068,14.4741935,19295,Czech Republic,1198,EU,different,EU
Yambol,Bulgaria,42.48444444,26.50861111,79771,Târgu Jiu,45.03416667,23.27472222,82504,Romania,384,EU,different,EU
General Toshevo,Bulgaria,43.70055556,28.03666667,6835,Mangalia,43.81722222,28.58277778,36364,Romania,46,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Berlin,52.51666667,13.38333333,3469849,Germany,1319,EU,different,EU
Blagoevgrad,Bulgaria,42.02194444,23.0975,76811,Žilina,49.21666667,18.73333333,NA,Slovakia,869,EU,different,EU
Montana,Bulgaria,43.40777778,23.225,44502,Banská Bystrica,48.73555556,19.14527778,NA,Slovakia,671,EU,different,EU
Targovishte,Bulgaria,43.24666667,26.57194444,37642,Târgoviște,44.92416667,25.45666667,79610,Romania,207,EU,different,EU
Targovishte,Bulgaria,43.24666667,26.57194444,37642,Cottbus,51.76055556,14.33416667,99595,Germany,1316,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,London,51.50722222,-0.1275,8416535,United Kingdom,2015,EU,different,EU
Balchik,Bulgaria,43.40777778,28.16222222,12913,Bran,45.516111,25.369444,5181,Romania,323,EU,different,EU
Haskovo,Bulgaria,41.93111111,25.5575,76587,Koblenz,50.35972222,7.597777778,112586,Germany,1664,EU,different,EU
Gabrovo,Bulgaria,42.87111111,25.315,58950,Mittweida,50.98555556,12.98111111,16619,Germany,1297,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Agros,34.91666667,33.01666667,806,Cyprus,1097,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Prague,50.08861111,14.42138889,1280508,Czech Republic,1067,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Liverpool,53.41666667,-3,466415,United Kingdom,2526,EU,different,EU
Vratsa,Bulgaria,43.2,23.55,60877,Craiova,44.33333333,23.81666667,269506,Romania,128,EU,different,EU
Varna,Bulgaria,43.20777778,27.91694444,348058,Hamburg,53.55,10,1787408,Germany,1744,EU,different,EU
Razgrad,Bulgaria,43.52666667,26.52416667,35007,Wittenberge,53,11.75,NA,Germany,1513,EU,different,EU
Silistra,Bulgaria,44.11861111,27.26027778,35230,Dresden,51.03333333,13.73333333,531982,Germany,1270,EU,different,EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Bratislava,48.14472222,17.11277778,625167,Slovakia,775,EU,different,EU
Sliven,Bulgaria,42.68083333,26.31638889,89848,Gera,50.88055556,12.08333333,96011,Germany,1412,EU,different,EU
Targovishte,Bulgaria,43.24666667,26.57194444,37642,Suresnes,48.87111111,2.226944444,48066,France,1970,EU,different,EU
Veliko Tarnovo,Bulgaria,43.08222222,25.63166667,71150,Tarxien,35.865,14.51111111,8583,Malta,1245,EU,different,EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Split,43.51,16.45,178102,Croatia,544,EU,different,EU
Kavarna,Bulgaria,43.43333333,28.33888889,11888,Michalovce,48.7575,21.91833333,39719,Slovakia,771,EU,different,EU
Tryavna,Bulgaria,42.86666667,25.49194444,9831,Sigulda,57.15388889,24.85444444,11821,Latvia,1589,EU,different,EU
Plovdiv,Bulgaria,42.14333333,24.74888889,333206,Brno,49.19527778,16.60833333,377973,Czech Republic,1006,EU,different,EU
Shumen,Bulgaria,43.27,26.92444444,80511,Mâcon,46.30666667,4.831944444,33350,France,1770,EU,different,EU
Dobrich,Bulgaria,43.56666667,27.83333333,91030,Izmail,45.35,28.83333333,NA,Ukraine,214,Non-EU,different,Non-EU
Nova Zagora,Bulgaria,42.49027778,26.01222222,23949,Taraclia,45.9,28.66888889,14900,Moldova,434,Non-EU,different,Non-EU
Gabrovo,Bulgaria,42.87111111,25.315,58950,Chernihiv,51.5,31.3,299609,Ukraine,1060,Non-EU,different,Non-EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Moscow,55.75583333,37.61777778,12380664,Russia,1777,Non-EU,different,Non-EU
Sevlievo,Bulgaria,43.02583333,25.10388889,24065,Gevgelija,41.13916667,22.5025,NA,Republic of Macedonia,300,Non-EU,different,Non-EU
Plovdiv,Bulgaria,42.14333333,24.74888889,333206,Kumanovo,42.14027778,21.71361111,105484,Republic of Macedonia,250,Non-EU,different,Non-EU
Nesebar,Bulgaria,42.66083333,27.71388889,13866,Kotor,42.42539,18.771191,NA,Montenegro,733,Non-EU,different,Non-EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Kavadarci,41.43277778,22.01166667,NA,Republic of Macedonia,156,Non-EU,different,Non-EU
Yambol,Bulgaria,42.48444444,26.50861111,79771,Berdiansk,46.75978742,36.78450136,115110,Ukraine,941,Non-EU,different,Non-EU
Shumen,Bulgaria,43.27,26.92444444,80511,Kherson,46.63333333,32.6,NA,Ukraine,582,Non-EU,different,Non-EU
Burgas,Bulgaria,42.5,27.46666667,206371,Gomel,52.44166667,30.98333333,527172,Belarus,1136,Non-EU,different,Non-EU
Sofia,Bulgaria,42.7,23.33333333,1286383,Kyiv,50.45,30.52361111,2907684,Ukraine,1021,Non-EU,different,Non-EU
Montana,Bulgaria,43.40777778,23.225,44502,Zhytomyr,50.25444444,28.65777778,NA,Ukraine,866,Non-EU,different,Non-EU
Plovdiv,Bulgaria,42.14333333,24.74888889,333206,Ohrid,41.11694444,20.80194444,NA,Republic of Macedonia,347,Non-EU,different,Non-EU
Gabrovo,Bulgaria,42.87111111,25.315,58950,Mytishchi,55.91666667,37.73333333,205397,Russia,1701,Non-EU,different,Non-EU
Dobrich,Bulgaria,43.56666667,27.83333333,91030,Kavadarci,41.43277778,22.01166667,NA,Republic of Macedonia,533,Non-EU,different,Non-EU
Kavarna,Bulgaria,43.43333333,28.33888889,11888,Podolsk,55.42972222,37.54444444,293765,Russia,1488,Non-EU,different,Non-EU
Pazardzhik,Bulgaria,42.18916667,24.33166667,71979,Aerodrom Municipality,41.985573,21.449066,NA,Republic of Macedonia,239,Non-EU,different,Non-EU
Pazardzhik,Bulgaria,42.18916667,24.33166667,71979,Aerodrom Municipality,41.985573,21.449066,NA,Republic of Macedonia,241,Non-EU,different,Non-EU
Pleven,Bulgaria,43.40777778,24.62027778,110520,Brest,52.13333333,23.66666667,335645,Belarus,973,Non-EU,different,Non-EU
Lovech,Bulgaria,43.13416667,24.71722222,39316,Berat,40.704939,19.949673,36496,Albania,478,Non-EU,different,Non-EU
Svishtov,Bulgaria,43.61861111,25.34388889,31418,Kremenchuk,49.0775,33.42388889,225216,Ukraine,867,Non-EU,different,Non-EU
Burgas,Bulgaria,42.5,27.46666667,206371,Krasnodar,45.03333333,38.98333333,881476,Russia,966,Non-EU,different,Non-EU
Targovishte,Bulgaria,43.24666667,26.57194444,37642,Smolensk,54.78277778,32.04527778,328906,Russia,1342,Non-EU,different,Non-EU
Gabrovo,Bulgaria,42.87111111,25.315,58950,Mogilyov,53.91666667,30.35,370712,Belarus,1282,Non-EU,different,Non-EU
Pernik,Bulgaria,42.60972222,23.03083333,75191,Rožaje,42.84422778,20.16787778,NA,Montenegro,235,Non-EU,different,Non-EU
Vidin,Bulgaria,43.98527778,22.87638889,54879,Rivne,50.61972222,26.25138889,NA,Ukraine,780,Non-EU,different,Non-EU
Plovdiv,Bulgaria,42.14333333,24.74888889,333206,Saint Petersburg,59.95,30.31666667,5281579,Russia,2016,Non-EU,different,Non-EU
Nesebar,Bulgaria,42.66083333,27.71388889,13866,Ohrid,41.11694444,20.80194444,NA,Republic of Macedonia,597,Non-EU,different,Non-EU
Vratsa,Bulgaria,43.2,23.55,60877,Sumy,50.90679926,34.79923542,270870,Ukraine,1206,Non-EU,different,Non-EU
